Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,111.230003,112.419998,111.129997,112.389999,107.653435,540600
2018-01-03,112.629997,113.690002,112.550003,113.309998,108.534660,506200
2018-01-04,114.779999,115.300003,114.699997,115.050003,110.201332,539300
2018-01-05,115.449997,116.500000,115.360001,116.330002,111.427383,475300
2018-01-08,115.089996,115.419998,114.760002,114.800003,109.961861,515400
2018-01-09,114.360001,114.459999,113.449997,114.160004,109.348839,515900
2018-01-10,113.639999,113.820000,112.589996,112.870003,108.113205,705800
2018-01-11,110.540001,110.650002,109.370003,109.639999,105.019325,2291200
2018-01-12,109.830002,110.629997,109.510002,110.129997,105.488678,1603200
2018-01-16,111.980003,112.379997,110.449997,110.680000,106.015495,927200
2018-01-17,110.080002,111.349998,109.900002,111.190002,106.504013,977100
2018-01-18,111.779999,112.180000,111.089996,111.669998,106.963783,898000
2018-01-19,113.089996,113.250000,112.650002,113.199997,108.429291,821900
2018-01-22,112.180000,112.790001,111.800003,112.779999,108.026993,671500
2018-01-23,114.019997,114.650002,113.739998,114.269997,109.454201,524600
2018-01-24,114.959999,115.330002,114.029999,114.370003,109.549988,562100
2018-01-25,114.169998,114.279999,112.639999,112.839996,108.084465,639000
2018-01-26,113.830002,114.580002,113.660004,114.540001,109.712822,1563000
2018-01-29,113.720001,114.150002,112.879997,113.540001,108.754967,1948500
2018-01-30,112.980003,113.150002,110.190002,110.809998,106.140022,6145800
2018-01-31,112.349998,113.419998,111.970001,113.250000,108.477188,5107400
2018-02-01,112.220001,112.559998,111.360001,111.650002,106.944618,1354200
2018-02-02,110.849998,110.849998,108.970001,109.150002,104.549980,1298000
2018-02-05,107.779999,108.949997,105.400002,105.870003,101.408211,1350600
2018-02-06,104.930000,108.480003,104.660004,108.360001,103.793274,1713100
2018-02-07,105.800003,106.620003,104.839996,105.089996,100.661079,1971700
2018-02-08,104.769997,104.870003,101.610001,101.660004,97.375641,1058700
2018-02-09,102.529999,103.089996,99.199997,101.989998,97.691734,1377200
2018-02-12,102.919998,103.239998,102.180000,102.750000,98.419701,959300
2018-02-13,102.589996,102.949997,102.180000,102.800003,98.467598,933900
2018-02-14,102.480003,105.169998,102.440002,105.129997,100.699394,1121300
2018-02-15,105.339996,105.660004,104.000000,105.559998,101.111282,1204200
2018-02-16,104.610001,105.580002,104.550003,104.900002,100.479095,547200
2018-02-20,103.989998,104.930000,103.839996,104.230003,99.837334,1600800
2018-02-21,104.129997,104.750000,103.199997,103.250000,98.898628,1195800
2018-02-22,103.430000,104.610001,102.949997,104.139999,99.751129,1183100
2018-02-23,103.959999,104.959999,103.790001,104.900002,100.479095,1388100
